_id,beerName,abv,ibu,style,ounces,breweryId,
1436,Pub Beer,0.05,,American Pale Lager,12,408,
2265,Devil's Cup,0.066,,American Pale Ale (APA),12,177,
2264,Rise of the Phoenix,0.071,,American IPA,12,177,
2263,Sinister,0.09,,American Double / Imperial IPA,12,177,
2262,Sex and Candy,0.075,,American IPA,12,177,
2261,Black Exodus,0.077,,Oatmeal Stout,12,177,
2260,Lake Street Express,0.045,,American Pale Ale (APA),12,177,
2259,Foreman,0.065,,American Porter,12,177,
2258,Jade,0.055,,American Pale Ale (APA),12,177,
2131,Cone Crusher,0.086,,American Double / Imperial IPA,12,177,
2099,Sophomoric Saison,0.072,,Saison / Farmhouse Ale,12,177,
2098,Regional Ring Of Fire,0.073,,Saison / Farmhouse Ale,12,177,
2097,Garce Selé,0.069,,Saison / Farmhouse Ale,12,177,
1980,Troll Destroyer,0.085,,Belgian IPA,12,177,
1979,Bitter Bitch,0.061,60,American Pale Ale (APA),12,177,
2318,Ginja Ninja,0.06,,Cider,12,154,https://cdn.beeradvocate.com/im/beers/93574.jpg
2170,Cherried Away,0.06,,Cider,12,154,
2169,Rhubarbarian,0.06,,Cider,12,154,https://newportavemarket.com/wp-content/uploads/2016/03/rhubarbThumb.jpg
1502,BrightCider,0.06,,Cider,12,154,
1593,He Said Baltic-Style Porter,0.082,,Baltic Porter,12,368,
1592,He Said Belgian-Style Tripel,0.082,,Tripel,12,368,
1036,Lower De Boom,0.099,92,American Barleywine,8.4,368,
1024,Fireside Chat,0.079,45,Winter Warmer,12,368,https://thefullpint.com/wp-content/uploads/2011/10/21-fireside-chat.jpg
976,Marooned On Hog Island,0.079,,American Stout,12,368,
876,Bitter American,0.044,42,American Pale Ale (APA),12,368,
802,Hell or High Watermelon Wheat (2009),0.049,17,Fruit / Vegetable Beer,12,368,
801,Hell or High Watermelon Wheat (2009),0.049,17,Fruit / Vegetable Beer,12,368,
800,21st Amendment Watermelon Wheat Beer (2006),0.049,17,Fruit / Vegetable Beer,12,368,
799,21st Amendment IPA (2006),0.07,70,American IPA,12,368,
797,Brew Free! or Die IPA (2008),0.07,70,American IPA,12,368,
796,Brew Free! or Die IPA (2009),0.07,70,American IPA,12,368,
531,Special Edition: Allies Win The War!,0.085,52,English Strong Ale,12,368,
432,Hop Crisis,0.097,94,American Double / Imperial IPA,12,368,
353,Bitter American (2011),0.044,42,American Pale Ale (APA),12,368,
321,Fireside Chat (2010),0.079,45,Winter Warmer,12,368,
173,Back in Black,0.068,65,American Black Ale,12,368,
11,Monk's Blood,0.083,35,Belgian Dark Ale,12,368,
10,Brew Free! or Die IPA,0.07,65,American IPA,12,368,
9,Hell or High Watermelon Wheat,0.049,17,Fruit / Vegetable Beer,12,368,
2519,Bimini Twist,0.07,82,American IPA,12,67,
2518,Beach Blonde,0.05,,American Blonde Ale,12,67,
2517,Rod Bender Red,0.059,,American Amber / Red Ale,12,67,
2545,Passion Fruit Prussia,0.035,11,Berliner Weissbier,12,60,
2544,Send Help,0.045,18,American Blonde Ale,12,60,
2324,Cast Iron Oatmeal Brown,0.055,,American Brown Ale,12,60,
2288,Reprise Centennial Red,0.06,,American Amber / Red Ale,12,60,
2287,Alter Ego,0.055,,American Black Ale,12,60,
2286,Divided Sky,0.065,,American IPA,12,60,
2285,Resurrected,0.065,,American IPA,12,60,
1870,Contact High,0.05,28,American Pale Wheat Ale,12,60,
2603,Galaxyfest,0.065,,American IPA,16,27,
2602,Citrafest,0.05,45,American IPA,16,27,
2220,Barn Yeti,0.09,,Belgian Strong Dark Ale,16,27,
2219,Scarecrow,0.069,65,American IPA,16,27,
2218,Ironman,0.09,50,English Strong Ale,16,27,
2217,Honey Kolsch,0.046,15,Kölsch,16,27,
2216,Copperhead Amber,0.052,18,Belgian Dark Ale,16,27,
972,Rude Parrot IPA,0.059,75,American IPA,16,481,
866,British Pale Ale (2010),0.054,30,English Pale Ale,16,481,
48,British Pale Ale,0.054,30,English Pale Ale,16,481,
47,Ballz Deep Double IPA,0.084,82,American Double / Imperial IPA,16,481,
1583,Wolfman's Berliner,0.038,,Berliner Weissbier,12,373,
1165,Colorado Native,0.055,26,American Amber / Red Lager,12,462,
431,Colorado Native (2011),0.055,26,American Amber / Red Lager,12,462,
516,Jockamo IPA,0.065,52,American IPA,12,533,
515,Purple Haze,0.042,13,Fruit / Vegetable Beer,12,533,
514,Abita Amber,0.045,17,American Amber / Red Lager,12,533,
2540,Citra Ass Down,0.082,68,American IPA,16,62,
2539,The Brown Note,0.05,20,American Brown Ale,16,62,
2686,Citra Ass Down,0.08,68,American Double / Imperial IPA,16,1,
2685,London Balling,0.125,80,English Barleywine,16,1,
2684,35 K,0.077,25,Milk / Sweet Stout,16,1,
2683,A Beer,0.042,42,American Pale Ale (APA),16,1,
2682,Rules are Rules,0.05,25,German Pilsener,16,1,
2681,Flesh Gourd'n,0.066,21,Pumpkin Ale,16,1,
2680,Sho'nuff,0.04,13,Belgian Pale Ale,16,1,
2679,Bloody Show,0.055,17,American Pilsner,16,1,
2678,Rico Sauvin,0.076,68,American Double / Imperial IPA,16,1,
2677,Coq de la Marche,0.051,38,Saison / Farmhouse Ale,16,1,
2676,Kamen Knuddeln,0.065,,American Wild Ale,16,1,
2675,Pile of Face,0.06,65,American IPA,16,1,
2674,The Brown Note,0.05,20,English Brown Ale,16,1,
1594,Maylani's Coconut Stout,0.053,35,American Stout,16,367,
1162,Oatmeal PSA,0.05,35,American Pale Ale (APA),16,367,
1137,Pre Flight Pilsner,0.052,33,American Pilsner,16,367,
2403,P-Town Pilsner,0.04,20,American Pilsner,12,117,
2402,Klickitat Pale Ale,0.053,36,American Pale Ale (APA),12,117,
2401,Yellow Wolf Imperial IPA,0.082,103,American Double / Imperial IPA,12,117,
1921,Freeride APA,0.053,40,American Pale Ale (APA),12,270,
1920,Alaskan Amber,0.053,18,Altbier,12,270,
2501,Hopalicious,0.057,,American Pale Ale (APA),12,73,
1535,Kentucky Kölsch,0.043,,Kölsch,16,388,
1149,Kentucky IPA,0.065,,American IPA,16,388,
1474,Dusty Trail Pale Ale,0.054,,American Pale Ale (APA),16,401,
1473,Damnesia,0.062,,American IPA,16,401,
837,Desolation IPA,0.062,43,American IPA,16,401,
2592,Liberty Ale,0.059,,American IPA,12,35,
2578,IPA,0.065,,American IPA,12,35,
2577,Summer Wheat,0.045,,American Pale Wheat Ale,12,35,
2103,California Lager,0.049,,American Amber / Red Lager,12,35,
2102,Brotherhood Steam,0.056,,California Common / Steam Beer,12,35,
2291,Blood Orange Gose,0.042,,Gose,12,171,
1818,Keebarlin' Pale Ale,0.042,,American Pale Ale (APA),12,171,
1738,"the Kimmie, the Yink and the Holy Gose",0.048,,Gose,12,171,
1563,Fall Hornin',0.06,,Pumpkin Ale,12,171,
1520,Barney Flats Oatmeal Stout,0.057,13,Oatmeal Stout,12,171,
1350,Summer Solstice,0.056,4,Cream Ale,12,171,
1327,Hop Ottin' IPA,0.07,80,American IPA,12,171,
1326,Boont Amber Ale,0.058,15,American Amber / Red Ale,12,171,
1221,Barney Flats Oatmeal Stout,0.057,13,Oatmeal Stout,12,171,
1217,El Steinber Dark Lager,0.055,25,Vienna Lager,16,171,
811,Boont Amber Ale (2010),0.058,15,American Amber / Red Ale,12,171,
753,Summer Solstice Cerveza Crema (2009),0.056,4,Cream Ale,12,171,
572,Barney Flats Oatmeal Stout (2012),0.057,13,Oatmeal Stout,12,171,
523,Winter Solstice,0.069,6,Winter Warmer,12,171,
367,Hop Ottin' IPA (2011),0.07,80,American IPA,12,171,
78,Boont Amber Ale (2011),0.058,15,American Amber / Red Ale,12,171,
77,Summer Solstice (2011),0.056,4,Cream Ale,12,171,
76,Poleeko Gold Pale Ale (2009),0.055,28,American Pale Ale (APA),12,171,
